county,region,est_2015,est_2016,est_2017
Adjuntas County,region_7,18565.00,18304.00,17934.00
Aguada County,region_5,39541.00,38896.00,38019.00
Aguadilla County,region_5,55825.00,54425.00,52926.00
Aguas Buenas County,region_8,26914.00,26401.00,25814.00
Aibonito County,region_8,24049.00,23600.00,23060.00
Anasco County,region_5,27942.00,27554.00,26977.00
Arecibo County,region_6,89641.00,87821.00,85423.00
Arroyo County,region_3,18538.00,18236.00,17833.00
Barceloneta County,region_6,24609.00,24445.00,24157.00
Barranquitas County,region_7,29309.00,28954.00,28476.00
Bayamon County,region_1,188801.00,183993.00,178529.00
Cabo Rojo County,region_5,49788.00,49366.00,48628.00
Caguas County,region_8,134376.00,132120.00,129241.00
Camuy County,region_6,32988.00,32371.00,31670.00
Canovanas County,region_1,46903.00,46395.00,45699.00
Carolina County,region_1,161885.00,158339.00,154143.00
Catano County,region_1,25628.00,25047.00,24322.00
Cayey County,region_8,45472.00,44818.00,43901.00
Ceiba County,region_2,12228.00,11908.00,11536.00
Ciales County,region_7,17332.00,16997.00,16561.00
Cidra County,region_8,41210.00,40585.00,39713.00
Coamo County,region_3,39889.00,39489.00,38968.00
Comerio County,region_7,19965.00,19654.00,19283.00
Corozal County,region_7,34986.00,34375.00,33589.00
Culebra County,region_2,1808.00,1795.00,1772.00
Dorado County,region_6,37791.00,37441.00,36882.00
Fajardo County,region_2,33069.00,32181.00,31165.00
Florida County,region_6,12162.00,11978.00,11734.00
Guanica County,region_4,17359.00,16858.00,16336.00
Guayama County,region_3,42641.00,41966.00,41088.00
Guayanilla County,region_4,19586.00,19115.00,18529.00
Guaynabo County,region_1,90894.00,89203.00,87085.00
Gurabo County,region_8,47192.00,47189.00,47011.00
Hatillo County,region_6,41057.00,40634.00,40019.00
Hormigueros County,region_5,16492.00,16268.00,15976.00
Humacao County,region_3,54795.00,53808.00,52632.00
Isabela County,region_5,43362.00,42718.00,41772.00
Jayuya County,region_7,15291.00,15000.00,14585.00
Juana Diaz County,region_4,48009.00,47271.00,46267.00
Juncos County,region_8,39710.00,39426.00,38902.00
Lajas County,region_5,23899.00,23422.00,22854.00
Lares County,region_7,27391.00,26592.00,25740.00
Las Marias County,region_5,8885.00,8669.00,8395.00
Las Piedras County,region_8,38319.00,38059.00,37591.00
Loiza County,region_1,27228.00,26602.00,25837.00
Luquillo County,region_2,18964.00,18641.00,18259.00
Manati County,region_6,40698.00,39904.00,38933.00
Maricao County,region_5,5873.00,5766.00,5630.00
Maunabo County,region_3,11314.00,11084.00,10798.00
Mayaguez County,region_5,79671.00,77643.00,75371.00
Moca County,region_5,37730.00,37072.00,36265.00
Morovis County,region_7,31858.00,31520.00,31044.00
Naguabo County,region_2,26624.00,26456.00,26137.00
Naranjito County,region_7,29136.00,28719.00,28175.00
Orocovis County,region_7,21931.00,21534.00,21022.00
Patillas County,region_3,17784.00,17411.00,16961.00
Penuelas County,region_4,21728.00,21120.00,20419.00
Ponce County,region_4,149039.00,144494.00,139888.00
Quebradillas County,region_6,24579.00,24173.00,23653.00
Rincon County,region_5,14565.00,14360.00,14087.00
Rio Grande County,region_1,51767.00,50803.00,49631.00
Sabana Grande County,region_5,23605.00,23169.00,22602.00
Salinas County,region_3,29287.00,28804.00,28238.00
San German County,region_5,32946.00,32333.00,31465.00
San Juan County,region_1,355561.00,346440.00,336139.00
San Lorenzo County,region_8,38749.00,38119.00,37283.00
San Sebastian County,region_5,39024.00,38187.00,37201.00
Santa Isabel County,region_3,22510.00,22220.00,21794.00
Toa Alta County,region_6,74344.00,73890.00,73052.00
Toa Baja County,region_6,82027.00,80211.00,77961.00
Trujillo Alto County,region_1,69614.00,68196.00,66487.00
Utuado County,region_7,30241.00,29506.00,28738.00
Vega Alta County,region_6,38646.00,37991.00,37050.00
Vega Baja County,region_6,54805.00,53677.00,52318.00
Vieques County,region_2,8965.00,8833.00,8666.00
Villalba County,region_4,23662.00,23091.00,22452.00
Yabucoa County,region_3,35076.00,34363.00,33519.00
Yauco County,region_4,37585.00,36654.00,35474.00
